Location,Street_code,Box_code,Area,Municipality,Province,Country
Moreletapark Uit 51,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 63,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 64,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 67,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 9,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletarif,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Morelettapark,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Pierre Van Ryneveld,0157,0045,Centurion,City of Tshwane,Gauteng,South Africa
Pierre Van Ryneveldpark,0157,0045,Centurion,City of Tshwane,Gauteng,South Africa
Amberfield Ridge,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Amberfieldrif,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Centurion,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Centurion Country Club,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Die Hoewes Ext 126,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Die Hoewes Ext 26,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Die Hoewes Uit 126,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Die Hoewes Uit 26,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Kosmosdal Ext 52,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Kosmosdal Uit 52,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Lowlardia Ext 48,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Lowlardia Uit 48,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Ext 4,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Uit 4,0157,0046,Centurion,City of Tshwane,Gauteng,South Africa
Elarduspark,0181,0047,Pretoria,City of Tshwane,Gauteng,South Africa
Elarduspark Ext 18,0181,0047,Pretoria,City of Tshwane,Gauteng,South Africa
Elarduspark Ext 26,0181,0047,Pretoria,City of Tshwane,Gauteng,South Africa
Elarduspark Uit 18,0181,0047,Pretoria,City of Tshwane,Gauteng,South Africa
Elarduspark Uit 26,0181,0047,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Ext 2,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Ext 3,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Ext 4,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Uit 2,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Uit 3,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Erasmuskloof Uit 4,0181,0048,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Ext 1,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Ext 2,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Ext 9,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Uit 1,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Uit 2,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Newlands Uit 9,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Nuweland,0181,0049,Pretoria,City of Tshwane,Gauteng,South Africa
Wapadrand,0081,0050,Pretoria,City of Tshwane,Gauteng,South Africa
Wapadrand Ext 1,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Wapadrand Ext 3,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Wapadrand Ext 6,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Wapadrand Uit 1,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Wapadrand Uit 3,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Wapadrand Uit 6,0081,0050,Wapadrand,City of Tshwane,Gauteng,South Africa
Swartkop Ext 8,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Swartkop Uit 8,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Ext 7,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Ext 8,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Uit 7,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkop Uit 8,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Zwartkops,0157,0051,Centurion,City of Tshwane,Gauteng,South Africa
Uif,-------,0052,Pretoria,City of Tshwane,Gauteng,South Africa
Wvf,-------,0052,Pretoria,City of Tshwane,Gauteng,South Africa
Ontvanger Van Inkomste,-------,0053,Pretoria,City of Tshwane,Gauteng,South Africa
Receiver of Revenue,-------,0053,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 1,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 2,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 3,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 4,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 1,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 2,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 3,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 4,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Suiderberg,0082,0055,Pretoria,City of Tshwane,Gauteng,South Africa
Tiegerpoort,-------,0056,Pretoria,City of Tshwane,Gauteng,South Africa
Wierdapark South,0157,0057,Pretoria,City of Tshwane,Gauteng,South Africa
Wierdapark Suid,0157,0057,Pretoria,City of Tshwane,Gauteng,South Africa
Wierdapark-Suid,0157,0057,Pretoria,City of Tshwane,Gauteng,South Africa
Quagga,-------,0058,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloof,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloof Ridge,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloofrif,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Garsfontein East,0081,0060,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein-Oos,0081,0060,Menlo Park,City of Tshwane,Gauteng,South Africa
The Reeds,0157,0061,Pretoria,City of Tshwane,Gauteng,South Africa
Irene,0157,0062,Pretoria,City of Tshwane,Gauteng,South Africa
Menlyn,0181,0063,Pretoria,City of Tshwane,Gauteng,South Africa
Post Point Menlyn,0181,0063,Pretoria,City of Tshwane,Gauteng,South Africa
Waterkloof Heights,0181,0065,Pretoria,City of Tshwane,Gauteng,South Africa
Waterkloofhoogte,0181,0065,Pretoria,City of Tshwane,Gauteng,South Africa
Annlin,0182,0066,Pretoria North,City of Tshwane,Gauteng,South Africa
Annlin Ext 34,0182,0066,Pretoria North,City of Tshwane,Gauteng,South Africa
Annlin Uit 34,0182,0066,Pretoria North,City of Tshwane,Gauteng,South Africa
Highveld Park,0157,0067,Centurion,City of Tshwane,Gauteng,South Africa
Hoeveldpark,0157,0067,Centurion,City of Tshwane,Gauteng,South Africa
Kameeldrif West,-------,0068,Hercules,City of Tshwane,Gauteng,South Africa
Kameeldrif-wes,-------,0068,Hercules,City of Tshwane,Gauteng,South Africa
Kwaggasrand,0183,0070,Pretoria West,City of Tshwane,Gauteng,South Africa
Pretoria Show,-------,0071,Pretoria,City of Tshwane,Gauteng,South Africa
Woodlands,0181,0072,Moreletapark,City of Tshwane,Gauteng,South Africa
Corporate,-------,0074,Pretoria,City of Tshwane,Gauteng,South Africa
Corporate Post Office,-------,0074,Pretoria,City of Tshwane,Gauteng,South Africa
Woodhill,0081,0076,Kromdraai,City of Tshwane,Gauteng,South Africa
Menlyn Central,0181,0077,Pretoria,City of Tshwane,Gauteng,South Africa
Menlyn Central,-------,0077,Menlyn,City of Tshwane,Gauteng,South Africa
Pretoria South,-------,0078,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria-Suid,-------,0078,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane South,-------,0078,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane-Suid,-------,0078,Pretoria,City of Tshwane,Gauteng,South Africa
E Freedom Save,-------,0079,Pretoria,City of Tshwane,Gauteng,South Africa
E-freedom Save,-------,0079,Pretoria,City of Tshwane,Gauteng,South Africa
Bloed Straat Winkelsentrum,-------,0080,Pretoria,City of Tshwane,Gauteng,South Africa
Bloed Street Mall,-------,0080,Pretoria,City of Tshwane,Gauteng,South Africa
Flexi Freedom Silver,-------,0080,Pretoria,City of Tshwane,Gauteng,South Africa
Alkantrant,0081,0005,Pretoria,City of Tshwane,Gauteng,South Africa
Alphen Park,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Alphenpark,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Ashlea Gardens,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Ashlea Tuine,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Boardwalk Manor,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Meander,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Villas Ext 4,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Villas Uit 4,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Bronberg,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 1,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 13,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 15,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 17,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 19,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 28,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 5,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 51,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 64,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 9,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Equestria Ext 111,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Equestria Ext 55,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Equestria Uit 111,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Equestria Uit 55,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen,0081,-------,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 1,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 2,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 24,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 28,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 3,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 32,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 34,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 36,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 37,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 4,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 45,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 48,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 6,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 61,0081,-------,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 7,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 70,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 71,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 8,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 9,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 1,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 2,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 24,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 28,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 3,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 32,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 34,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 36,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 37,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 4,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 45,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 48,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 6,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 61,0081,-------,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 7,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 70,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 71,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 8,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 9,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Garsfontein,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein East,0081,0060,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 1,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 10,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 11,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 12,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 13,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 14,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 15,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 16,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 17,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 2,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 3,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 4,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 5,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 6,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 7,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 8,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 9,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 1,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 10,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 11,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 12,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 13,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 14,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 15,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 16,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 17,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 2,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 3,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 4,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 5,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 6,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 7,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 8,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 9,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein West,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein-Oos,0081,0060,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein-Wes,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Glenwood,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Hazelwood,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnrodene,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Glen,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Manor,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Manor Ext 2,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Manor Ext 3,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Manor Uit 2,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Manor Uit 3,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Park,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Ridge,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwoodrif,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Maroelana,0081,0161,Pretoria,City of Tshwane,Gauteng,South Africa
Menlo Park,0081,0102,Pretoria,City of Tshwane,Gauteng,South Africa
Menlo Park,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Menlopark,0081,0102,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloof,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloof Ridge,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloof Rif,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Mooikloofrif,0081,0059,Pretoria,City of Tshwane,Gauteng,South Africa
Olympus,0081,-------,Menlo Park,City of Tshwane,Gauteng,South Africa
Paramount Estate,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Paramount Landgoed,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park,-------,0081,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park Ext 14,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park Ext 3,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park Ext 6,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park Ext 8,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretorius Park Uit 8,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoriuspark,0081,0042,Garsfontein,City of Tshwane,Gauteng,South Africa
Pretoriuspark Uit 14,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoriuspark Uit 3,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoriuspark Uit 6,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 1,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 2,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 3,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Ext 4,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 1,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 2,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 3,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silver Lakes Uit 4,0081,0054,Pretoria,City of Tshwane,Gauteng,South Africa
Silverwoods Country Estate,0081,0081,Pretoria,City of Tshwane,Gauteng,South Africa
Silverwoods Country Landgoed,0081,0081,Pretoria,City of Tshwane,Gauteng,South Africa
Swavelpoort,0081,0036,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 1,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 13,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 15,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 17,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 19,0081,-------,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 28,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 5,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 51,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
